"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.295791833E0,-9.404044189E0,-2.913391571E0,9.605525208E-1
4.315679833E0,-9.161847839E0,-3.383863220E0,3.323089600E-2
4.335567833E0,-9.038055267E0,-3.924688568E0,-1.016386414E0
4.355455833E0,-8.916358337E0,-4.341871033E0,-2.005679169E0
4.375342833E0,-8.792116699E0,-4.573888550E0,-2.997816010E0
4.395230833E0,-8.461454315E0,-4.525539093E0,-3.751199341E0
4.415118833E0,-7.701933746E0,-4.141737213E0,-4.052672424E0
4.435006958E0,-7.519762573E0,-3.785028992E0,-3.496728516E0
4.454894958E0,-7.606282654E0,-3.742068329E0,-3.257525940E0
4.474782958E0,-8.342601471E0,-4.023782501E0,-2.266586609E0
4.494670958E0,-9.125772858E0,-4.563709717E0,-1.235231323E0
4.514558958E0,-9.654024353E0,-4.540957031E0,-2.748284912E-1
4.534446958E0,-9.683812408E0,-4.030069427E0,4.740641785E-1
4.554334958E0,-9.692793732E0,-3.693868561E0,1.552870789E0
4.574222958E0,-1.037761963E1,-2.901865540E0,1.885928192E0
4.594110958E0,-1.049542465E1,-2.629282379E0,1.702559509E0
4.613997958E0,-1.015608032E1,-2.786455536E0,1.410067749E0
4.633885958E0,-9.198970642E0,-3.417842560E0,3.808081055E-1
4.653773958E0,-8.547675018E0,-3.795507202E0,-7.381150818E-1
4.673661958E0,-8.082592163E0,-3.714525604E0,-1.879341888E0
4.693549958E0,-7.761509857E0,-3.863316193E0,-3.073259125E0
4.713437958E0,-7.958051147E0,-4.038152618E0,-3.957470398E0
4.733325958E0,-8.259524231E0,-4.035607910E0,-4.203708344E0
4.753213958E0,-9.403146057E0,-4.140390015E0,-4.194727020E0
4.773101958E0,-7.745044098E0,-3.841461639E0,-3.547772369E0
4.792989958E0,-7.761958923E0,-3.901187439E0,-2.934647369E0
4.812877958E0,-8.106093292E0,-4.027375031E0,-2.277513885E0
4.832765958E0,-8.810079346E0,-4.220922546E0,-1.448388062E0
4.852653958E0,-9.536219330E0,-4.682861938E0,-3.761677551E-1
4.872541958E0,-9.786498871E0,-4.318070526E0,5.354365540E-1
4.892428958E0,-1.001207977E1,-3.479664001E0,1.498982849E0
4.912316958E0,-1.031939072E1,-2.747536469E0,1.684596863E0
4.932204958E0,-9.972262573E0,-2.654579773E0,1.267115021E0
4.952092958E0,-9.533375244E0,-3.155438232E0,1.046174469E0
4.971980958E0,-9.078321533E0,-3.739673309E0,2.948867798E-2
4.991868958E0,-8.832233276E0,-3.808679810E0,-8.948391724E-1
5.011756958E0,-8.554560699E0,-3.845802612E0,-1.707349548E0
5.031644958E0,-8.041128387E0,-3.835773468E0,-2.498304749E0
5.051532958E0,-8.446186066E0,-3.985462189E0,-3.015329590E0
5.071420958E0,-8.761430511E0,-4.086352386E0,-3.602109375E0
5.091308958E0,-8.586444397E0,-3.796405334E0,-3.415746918E0
5.111196958E0,-8.277187500E0,-3.744912415E0,-2.791245575E0
5.131084958E0,-8.295150146E0,-3.869303741E0,-2.453547821E0
5.150972958E0,-8.553363190E0,-4.139791260E0,-1.955533447E0
5.170860958E0,-8.934770050E0,-4.384083252E0,-1.271306305E0
5.190748958E0,-9.709558868E0,-4.642445984E0,-9.879455566E-2
5.210636958E0,-9.950258331E0,-4.279151459E0,8.746311951E-1
5.230524958E0,-1.015727783E1,-3.043171692E0,2.142943726E0
5.250411958E0,-1.050156189E1,-1.915865936E0,2.238594818E0
5.270299958E0,-9.720336456E0,-2.291285248E0,2.205663300E0
5.290187958E0,-9.399104462E0,-2.833308105E0,1.849404144E0
5.310075958E0,-9.109756165E0,-3.938609619E0,5.304968262E-1
5.329963958E0,-8.612340546E0,-4.879702606E0,-1.193168793E0
5.349851958E0,-8.208779755E0,-4.235741730E0,-3.231480103E0
5.369739958E0,-8.185877380E0,-3.691772919E0,-4.303700409E0
5.389627958E0,-9.226663055E0,-4.400848389E0,-4.698279877E0
5.409515958E0,-7.777526550E0,-4.048331451E0,-4.042194214E0
5.429406167E0,-7.055877228E0,-3.543431396E0,-3.628155212E0
5.449294167E0,-7.364535370E0,-3.484454041E0,-3.026406555E0
5.469182167E0,-8.364156647E0,-3.980073395E0,-2.114502869E0
5.489070167E0,-8.569230194E0,-4.823719025E0,-1.508113861E0
5.508958167E0,-1.004456223E1,-5.372178497E0,-1.311273193E-1
5.528846167E0,-1.026520340E1,-4.865781555E0,9.042695618E-1
5.548734167E0,-1.015428406E1,-3.472778320E0,2.301464081E0
5.568622167E0,-1.059676392E1,-1.850901031E0,3.018473053E0
5.588510167E0,-1.040680893E1,-1.456471252E0,2.872526550E0
5.608398167E0,-9.495953064E0,-2.568957825E0,2.931204529E0
5.628286167E0,-8.846753082E0,-3.550466766E0,1.231040039E0
5.648174167E0,-8.917555847E0,-4.305796051E0,-5.053491211E-1
5.668062167E0,-8.981323242E0,-4.384382629E0,-1.845212860E0
5.687950167E0,-9.340576172E0,-4.381239166E0,-2.902464294E0
5.707838167E0,-8.880283356E0,-4.822671204E0,-3.507356415E0
5.727726167E0,-8.381969604E0,-4.147425385E0,-3.437751160E0
5.747614167E0,-7.560328217E0,-3.347488861E0,-3.175197144E0
5.767502167E0,-7.356601868E0,-3.591631165E0,-3.166215820E0
5.787390167E0,-7.934699707E0,-3.780388641E0,-2.434387665E0
5.807278167E0,-8.278684387E0,-4.279600525E0,-1.742376709E0
5.827166167E0,-9.184899902E0,-4.856201477E0,-6.242019653E-1
5.847054167E0,-1.003573059E1,-5.021457825E0,1.342707825E-1
5.866942167E0,-1.014515305E1,-4.102369080E0,1.263073425E0
5.886830167E0,-1.020517822E1,-3.233276367E0,2.041754150E0
5.906718167E0,-1.019395157E1,-2.221679993E0,2.273621979E0
5.926605167E0,-9.580527191E0,-2.676284637E0,1.993105316E0
5.946493167E0,-8.978778534E0,-3.295546875E0,1.601369934E0
5.966381167E0,-8.556955719E0,-3.798051910E0,1.131646729E-1
5.986269167E0,-8.729995880E0,-4.064348145E0,-1.181942139E0
6.006157167E0,-9.230854340E0,-4.359534302E0,-1.920206909E0
6.026045167E0,-9.144034882E0,-4.471351776E0,-2.580184479E0
6.045933167E0,-8.823701019E0,-4.590354309E0,-2.704276428E0
6.065821167E0,-8.341853027E0,-3.983216858E0,-2.636467438E0
6.085709167E0,-8.044870605E0,-3.869603119E0,-2.388882294E0
6.105597167E0,-8.118667145E0,-3.878434753E0,-2.190844116E0
6.125485167E0,-8.469238129E0,-4.071233826E0,-1.522633667E0
6.145373167E0,-9.079818420E0,-4.319417725E0,-8.220904541E-1
6.165261167E0,-9.452243958E0,-4.104015656E0,-2.740800476E-1
6.185149167E0,-9.744136963E0,-4.166585541E0,5.590873718E-1
6.205037167E0,-9.870324554E0,-3.742667084E0,1.137634277E0
6.224925167E0,-9.686656494E0,-3.202889557E0,1.689536591E0
6.244813167E0,-9.746681671E0,-2.573897552E0,1.839225311E0
6.264701167E0,-9.341773682E0,-3.021167450E0,1.660946045E0
6.284589167E0,-9.127569122E0,-3.346590729E0,1.117126923E0
6.304477167E0,-8.816066895E0,-3.466341705E0,3.802093506E-2
6.324365167E0,-8.799601135E0,-3.645818481E0,-7.328759766E-1
6.344253167E0,-8.925489349E0,-3.980672150E0,-1.268312531E0
6.364141167E0,-8.709039459E0,-4.249064026E0,-1.753004608E0
6.384029167E0,-9.009015656E0,-4.332590332E0,-1.921703796E0
6.403917167E0,-9.218729553E0,-3.839964752E0,-2.496209106E0
6.423802792E0,-8.856033783E0,-3.689976654E0,-2.248324585E0
6.443690792E0,-8.604856110E0,-3.659290466E0,-1.829495544E0
6.463578792E0,-8.520431671E0,-3.833228760E0,-2.002835083E0
6.483466792E0,-8.644822998E0,-3.967499542E0,-1.872306519E0
6.503354792E0,-8.957672424E0,-4.180057526E0,-9.466314697E-1
6.523242792E0,-9.740245056E0,-4.074526978E0,-2.396516418E-1
6.543130792E0,-9.971813507E0,-3.496878204E0,9.440867615E-1
6.563018792E0,-9.600286102E0,-2.741698608E0,1.665436707E0
6.582906792E0,-9.060658264E0,-2.571951599E0,1.555565186E0
6.602794792E0,-9.205107880E0,-2.709814911E0,8.078700256E-1
6.622682792E0,-9.388326874E0,-3.098257141E0,-2.195933533E-1
6.642570792E0,-8.761729889E0,-3.721411285E0,-6.277944946E-1
6.662458792E0,-9.304052124E0,-4.136647797E0,-1.504820709E0
6.682346792E0,-9.104816437E0,-3.852388916E0,-2.992726593E0
6.702234792E0,-8.237819366E0,-3.572471008E0,-2.485281830E0
6.722122792E0,-9.475296021E0,-4.023183746E0,-2.057770844E0
6.742010792E0,-9.128467255E0,-4.024830322E0,-2.463726654E0
6.761898792E0,-8.308771820E0,-3.676804047E0,-2.073787537E0
6.781786792E0,-8.700357513E0,-3.744014282E0,-1.275497589E0
6.801674792E0,-9.280251617E0,-4.085304565E0,-5.929170227E-1
6.821562792E0,-9.765093384E0,-3.996838531E0,1.796264648E-3
6.841450792E0,-9.560319214E0,-3.434008942E0,6.938072205E-1
6.861338792E0,-9.614356842E0,-2.905458069E0,1.418300629E0
6.881226792E0,-9.818083191E0,-2.327809296E0,9.660910034E-1
6.901114792E0,-9.618847504E0,-2.837349701E0,5.896238708E-1
6.921002792E0,-9.154213715E0,-3.282823334E0,5.625302124E-1
6.940890792E0,-8.607400818E0,-3.683540039E0,-5.138813782E-1
6.960778792E0,-8.603059845E0,-3.715274048E0,-1.539398804E0
6.980666792E0,-9.053622894E0,-3.739673309E0,-2.238295441E0
7.000554792E0,-9.399104462E0,-4.169729004E0,-2.691852264E0
7.020442792E0,-9.106463013E0,-4.206253052E0,-2.311792603E0
7.040330792E0,-8.771459656E0,-4.103566589E0,-2.306403809E0
7.060218792E0,-8.559350739E0,-4.351750488E0,-2.046993256E0
7.080106792E0,-8.589587860E0,-4.358187103E0,-1.494641876E0
7.099994792E0,-9.038204956E0,-4.203858032E0,-7.876620483E-1
7.119882792E0,-8.638236694E0,-3.755390625E0,3.031196594E-1
7.139770792E0,-9.405092010E0,-3.415148163E0,1.600022736E0
7.159658792E0,-9.912237396E0,-2.882555695E0,2.095193024E0
7.179546792E0,-1.018437149E1,-2.318528595E0,1.917662201E0
7.199434792E0,-9.851613464E0,-2.603386230E0,1.276096344E0
7.219322792E0,-9.497300262E0,-2.830464020E0,8.056246948E-1
7.239210792E0,-8.920998688E0,-3.563789062E0,-2.942880249E-1
7.259098792E0,-8.611592102E0,-4.285139008E0,-1.389560394E0
7.278986792E0,-8.475375366E0,-4.129013672E0,-2.044149170E0
7.298874792E0,-8.617879028E0,-4.170776825E0,-2.368225250E0
7.318762792E0,-8.884025574E0,-4.217030640E0,-2.461331635E0
7.338650792E0,-8.849896545E0,-4.030518494E0,-2.229763184E0
7.358538792E0,-8.763526154E0,-4.129462738E0,-2.200873260E0
7.378426792E0,-8.792266388E0,-4.387526093E0,-1.695673828E0
7.398314792E0,-8.983418884E0,-4.367916870E0,-8.378077698E-1
7.418202792E0,-9.254205780E0,-3.929328918E0,3.064128113E-1
7.438090708E0,-9.352850647E0,-2.985691223E0,1.455722809E0
7.457978708E0,-9.653724976E0,-2.207459564E0,2.097288666E0
7.477866708E0,-9.838440857E0,-2.695295105E0,2.028431854E0
7.497754708E0,-9.510921936E0,-2.750530243E0,1.367406464E0
7.517642708E0,-9.419611816E0,-3.281925201E0,2.555186462E-1
7.537530708E0,-9.456135864E0,-4.401447144E0,-7.752378845E-1
7.557418708E0,-8.989705811E0,-4.480632477E0,-1.723665619E0
7.577306708E0,-8.575517120E0,-4.366270294E0,-2.436483307E0
7.597194708E0,-8.332722015E0,-4.176165619E0,-2.901416473E0
7.617082708E0,-8.228838043E0,-3.921545105E0,-2.840343475E0
7.636971708E0,-8.350385284E0,-3.993096313E0,-2.879112854E0
7.656859708E0,-8.551566925E0,-4.223766632E0,-2.368674316E0
7.676747708E0,-8.646170197E0,-4.473896484E0,-1.502575378E0
7.696635708E0,-8.839268646E0,-4.399800568E0,-8.740324402E-1
7.716523708E0,-9.205556946E0,-4.103117523E0,-1.740879822E-1
7.736411708E0,-9.519454193E0,-3.750301208E0,9.228309631E-1
7.756299708E0,-9.893526306E0,-3.268602905E0,2.065854034E0
7.776187708E0,-1.012704071E1,-2.600542145E0,2.598596191E0
7.796075708E0,-9.906399536E0,-2.688259735E0,2.255509644E0
7.815963708E0,-9.263037415E0,-2.788401489E0,1.522034912E0
7.835851708E0,-8.988957367E0,-3.232677612E0,2.942880249E-1
