"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.364767958E0,7.353066802E-1,-7.205878496E-1,-2.573232539E-2
5.384655958E0,2.772169709E-1,-2.169611454E-1,1.521262974E-1
5.404543958E0,-2.103912644E-2,-5.871945620E-2,4.852839559E-2
5.424434167E0,-3.871487379E-1,2.417808324E-1,-1.827460676E-1
5.444322167E0,-6.708903313E-1,9.185792506E-2,-4.406661093E-1
5.464210167E0,-7.415989637E-1,-3.034771979E-1,-5.630546212E-1
5.484098167E0,-5.434308648E-1,-1.238065720E0,-6.595737934E-1
5.503986167E0,-5.588140488E-1,-1.151150227E0,-5.238617063E-1
5.523874167E0,-5.560935140E-1,-6.643534303E-1,-3.178850114E-1
5.543762167E0,-3.017365932E-1,-4.510474801E-1,-1.881923229E-1
5.563650167E0,-6.412000861E-3,-2.723965347E-1,4.149802402E-2
5.583538167E0,2.624127269E-1,2.429793030E-1,2.396852523E-1
5.603426167E0,6.588385701E-1,7.352759242E-1,3.499794900E-1
5.623314167E0,7.273483872E-1,9.808274508E-1,4.204855859E-1
5.643202167E0,5.686739087E-1,7.277204394E-1,4.645611942E-1
5.663090167E0,5.082578063E-1,3.145623803E-1,3.244065344E-1
5.682978167E0,4.233931899E-1,2.597528696E-1,2.853857875E-1
5.702866167E0,2.939282656E-1,1.249225214E-1,2.383146584E-1
5.722754167E0,1.701953411E-1,-9.399472177E-2,1.828502119E-1
5.742642167E0,-1.364197880E-1,4.794007167E-3,-3.357819095E-2
5.762530167E0,-4.750002027E-1,1.035006810E-2,-2.574788928E-1
5.782418167E0,-6.640881300E-1,-1.133148000E-1,-4.011922479E-1
5.802306167E0,-6.093866229E-1,-5.823944211E-1,-4.877201319E-1
5.822194167E0,-4.883573949E-1,-1.071558833E0,-5.243933201E-1
5.842082167E0,-5.402136445E-1,-7.539905310E-1,-3.977251947E-1
5.861970167E0,-3.975735009E-1,-6.055076122E-1,-2.795886993E-1
5.881858167E0,-2.140186578E-1,-3.790766001E-1,-1.388470531E-1
5.901745167E0,-3.293630481E-2,-8.521914482E-2,1.781303808E-2
5.921633167E0,2.284623086E-1,3.392285407E-1,1.587165445E-1
5.941521167E0,4.723548293E-1,6.406568289E-1,2.525933087E-1
5.961409167E0,4.562404156E-1,7.064346075E-1,2.750296593E-1
5.981297167E0,3.205054104E-1,5.125942230E-1,2.603880167E-1
6.001185167E0,2.108731419E-1,3.613924980E-1,2.230352610E-1
6.021073167E0,1.191784665E-1,3.782693148E-1,2.000704259E-1
6.040961167E0,8.931413293E-2,1.329763085E-1,1.423478723E-1
6.060849167E0,-2.518007904E-2,-4.586322606E-2,6.536795199E-2
6.080737167E0,-1.907490939E-1,-1.867910028E-1,-8.795332164E-2
6.100625167E0,-3.204393089E-1,-4.544082582E-1,-2.337797433E-1
6.120513167E0,-3.902785778E-1,-6.912634373E-1,-3.336179256E-1
6.140401167E0,-4.509204328E-1,-6.670163274E-1,-3.378254175E-1
6.160289167E0,-4.691675007E-1,-5.992089510E-1,-3.016986549E-1
6.180177167E0,-3.928180635E-1,-6.282162666E-1,-2.302921414E-1
6.200065167E0,-3.223063946E-1,-3.740256429E-1,-1.269052625E-1
6.219953167E0,-1.239067242E-1,-1.831838787E-1,-4.669398442E-2
6.239841167E0,9.546270221E-2,1.440835893E-1,7.653202862E-2
6.259729167E0,3.266302943E-1,5.193024278E-1,1.929867119E-1
6.279617167E0,5.088810325E-1,7.314556837E-1,3.282216191E-1
6.299505167E0,5.084771514E-1,7.189416289E-1,4.389500022E-1
6.319393167E0,4.009586871E-1,5.948087573E-1,4.979167581E-1
6.339281167E0,3.566328883E-1,4.616661072E-1,5.177279711E-1
6.359169167E0,4.291900396E-1,1.812070757E-1,3.877721727E-1
6.379057167E0,4.165906310E-1,1.109101158E-2,2.271885872E-1
