"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.893061833E0,-8.928365010E0,-4.010667489E0,-6.595135930E-1
3.912949833E0,-8.931870416E0,-4.003375134E0,-6.563208671E-1
3.932837833E0,-8.938887075E0,-3.978884656E0,-7.077413546E-1
3.952725833E0,-8.946510090E0,-3.944379067E0,-7.987276116E-1
3.972612833E0,-8.957321591E0,-3.894613707E0,-9.135167871E-1
3.992500833E0,-8.972358291E0,-3.829523672E0,-1.033266740E0
4.012388833E0,-8.987061115E0,-3.762938503E0,-1.144171903E0
4.032276833E0,-8.996798483E0,-3.710491610E0,-1.235300467E0
4.052164833E0,-9.003133357E0,-3.679318349E0,-1.281530161E0
4.072052833E0,-9.008953675E0,-3.663829660E0,-1.284992736E0
4.091940833E0,-9.008954844E0,-3.665138267E0,-1.281246425E0
4.111828833E0,-9.003047987E0,-3.685804958E0,-1.263358331E0
4.131716833E0,-8.992735253E0,-3.723883196E0,-1.224535743E0
4.151603833E0,-8.977969279E0,-3.776501705E0,-1.170550959E0
4.171491833E0,-8.960853310E0,-3.838962247E0,-1.096168309E0
4.191379833E0,-8.944146060E0,-3.900006009E0,-1.014049208E0
4.211267833E0,-8.933434546E0,-3.945566344E0,-9.286299393E-1
4.231155833E0,-8.931238917E0,-3.967553044E0,-8.529793210E-1
4.251043833E0,-8.929125733E0,-3.977328712E0,-8.292780709E-1
4.270931833E0,-8.930951818E0,-3.967754773E0,-8.550616606E-1
4.290819833E0,-8.936379789E0,-3.939443140E0,-9.262814051E-1
4.310707833E0,-8.946814730E0,-3.891352422E0,-1.023708736E0
4.330595833E0,-8.961723960E0,-3.830302228E0,-1.119091002E0
4.350483833E0,-8.976742533E0,-3.767732928E0,-1.207633562E0
4.370370833E0,-8.986517909E0,-3.717878690E0,-1.286843526E0
4.390258833E0,-8.992582056E0,-3.683650844E0,-1.341757506E0
4.410146833E0,-8.999199350E0,-3.661353656E0,-1.358302787E0
4.430034958E0,-8.999655433E0,-3.663237922E0,-1.350180566E0
4.449922958E0,-8.992446985E0,-3.692955518E0,-1.316829364E0
4.469810958E0,-8.981075320E0,-3.747404206E0,-1.238278453E0
4.489698958E0,-8.967617953E0,-3.813894356E0,-1.127883899E0
4.509586958E0,-8.954790332E0,-3.876176266E0,-1.011497483E0
4.529474958E0,-8.945832982E0,-3.924503796E0,-8.980134796E-1
4.549362958E0,-8.938163189E0,-3.958919046E0,-8.199297617E-1
4.569250958E0,-8.934498739E0,-3.969869711E0,-8.068292943E-1
4.589138958E0,-8.935023819E0,-3.958499800E0,-8.554051846E-1
4.609025958E0,-8.940072890E0,-3.924221960E0,-9.548257577E-1
4.628913958E0,-8.952268428E0,-3.864844362E0,-1.075168107E0
4.648801958E0,-8.968930653E0,-3.786704804E0,-1.206339134E0
4.668689958E0,-8.987312545E0,-3.702773870E0,-1.324308830E0
4.688577958E0,-9.000892704E0,-3.638192543E0,-1.408397346E0
4.708465958E0,-9.001620682E0,-3.618235703E0,-1.454416249E0
4.728353958E0,-9.003590609E0,-3.621249358E0,-1.434577523E0
4.748241958E0,-9.004024472E0,-3.629050421E0,-1.411956107E0
4.768129958E0,-9.000332540E0,-3.639772168E0,-1.407890392E0
4.788017958E0,-8.990318599E0,-3.679977623E0,-1.366759323E0
