"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.489698958E0,-1.063620222E-1,-7.216735885E-1,-1.721630057E-1
4.509586958E0,-6.833681864E-1,-6.713676533E-1,6.862232356E-1
4.529474958E0,-7.535464686E-1,-1.393949899E-1,1.311903523E0
4.549362958E0,-7.309791398E-1,2.273292196E-1,2.310379915E0
4.569250958E0,-1.414979410E0,1.018157828E0,2.698595273E0
4.589138958E0,-1.565639353E0,1.342540010E0,2.572783073E0
4.609025958E0,-1.259566850E0,1.149442145E0,2.410847944E0
4.628913958E0,-3.011894935E-1,4.959500143E-1,1.536957006E0
4.648801958E0,3.911682022E-1,-7.305218875E-3,5.427690355E-1
4.668689958E0,8.735851282E-1,1.249783874E-2,-4.722550499E-1
4.688577958E0,1.214534519E0,-2.020715868E-1,-1.611721845E0
4.708465958E0,1.138770391E0,-3.955179459E-1,-2.447519488E0
4.728353958E0,7.261037314E-1,-4.163047975E-1,-2.797871640E0
4.748241958E0,-4.479195231E-1,-5.176262274E-1,-2.702088400E0
4.768129958E0,1.213825836E0,-2.181549382E-1,-2.226999643E0
4.788017958E0,1.239287537E0,-2.159704185E-1,-1.598425130E0
4.807905958E0,9.226064301E-1,-2.823246217E-1,-1.058286245E0
4.827793958E0,1.859946674E-1,-3.814165083E-1,-3.080463772E-1
4.847681958E0,-5.454715455E-1,-8.173717511E-1,6.065072675E-1
4.867569958E0,-8.271325082E-1,-4.490755177E-1,1.474093445E0
4.887456958E0,-1.070840948E0,4.187840170E-1,2.351365389E0
4.907344958E0,-1.361965629E0,1.167546586E0,2.571551650E0
4.927232958E0,-1.073653459E0,1.286556136E0,2.147356035E0
4.947120958E0,-6.089793241E-1,7.740374511E-1,2.023733032E0
4.967008958E0,-1.283802974E-1,1.146206295E-1,1.115081713E0
4.986896958E0,1.328931785E-1,-5.528951705E-2,2.480260241E-1
5.006784958E0,4.479277092E-1,-1.352420050E-1,-5.291577407E-1
5.026672958E0,9.592994624E-1,-1.562019342E-1,-1.300999635E0
5.046560958E0,5.588628387E-1,-3.817810822E-1,-1.743588252E0
5.066448958E0,2.722720885E-1,-4.666627729E-1,-2.396397428E0
5.086336958E0,4.544216269E-1,-2.176058847E-1,-2.284330423E0
5.106224958E0,7.391763514E-1,-1.018427092E-1,-1.618398196E0
5.126112958E0,7.457322496E-1,-1.885247576E-1,-1.347814929E0
5.146000958E0,4.894131196E-1,-4.192515019E-1,-9.254355323E-1
5.165888958E0,1.251730996E-1,-5.968460593E-1,-3.568381758E-1
5.185776958E0,-6.860929888E-1,-7.964995301E-1,7.109500873E-1
5.205664958E0,-9.850237030E-1,-4.603220522E-1,1.621880797E0
5.225552958E0,-1.136150254E0,7.389597121E-1,2.840589058E0
