"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.376347708E0,-1.669867493E1,-1.160641434E1,-5.835165710E0
4.396237708E0,-1.174068512E1,-1.700508774E1,4.226461029E0
4.416126708E0,-4.194727020E0,-1.376312943E1,1.400038605E1
4.436016708E0,-2.801574097E0,-1.635004990E1,3.136876831E0
4.455906708E0,-3.350033569E0,-2.009316605E1,-4.547243958E0
4.475795708E0,-2.383493500E0,-1.968346802E1,-1.324745178E0
4.495685708E0,-3.011737061E-1,-1.614258133E1,3.255579987E0
4.515575708E0,1.111588440E0,-1.311078598E1,3.502416687E0
4.535464708E0,3.428620148E0,-9.158854065E0,3.793411560E0
4.555354708E0,3.038980408E0,-4.938380585E0,9.141041107E0
4.575244708E0,8.078700256E-1,-2.871927795E0,9.719288635E0
4.595134708E0,-1.067579956E0,-1.406475220E0,4.219126282E0
4.615023708E0,-2.396217041E0,-8.622070312E-2,1.902543640E-1
4.634913708E0,-4.201762390E-1,1.234482880E0,4.337230682E0
4.654803708E0,2.624642029E0,7.813751221E-1,4.660258942E0
4.674692708E0,3.125949554E0,-1.148561554E0,3.560346222E0
4.694582708E0,4.534071350E0,-2.621648254E0,2.073188782E0
4.714471708E0,5.363197174E0,-5.893544312E0,-1.866768036E0
4.734361708E0,3.295397186E0,-1.615695145E1,-2.114667526E1
4.754251708E0,-1.260633499E1,-3.360511780E1,-2.823338837E1
4.774140583E0,-1.215996323E1,-1.847009125E1,-8.056696014E0
4.794030583E0,-7.971074066E0,-4.807852020E0,-1.772658737E1
4.813920583E0,-5.559139709E0,-1.468326599E1,2.446662140E0
4.833809583E0,1.166673889E0,-1.795097076E1,1.579859665E1
4.853699583E0,5.185965729E0,-1.234378098E1,9.908195801E0
4.873589583E0,4.813689880E0,-6.808292084E0,2.458188171E0
4.893478583E0,3.742816772E0,-4.168681183E0,-1.116977234E0
4.913368583E0,4.034111023E0,-6.490951996E0,-1.685494995E-1
4.933258583E0,3.468287659E0,-1.017119888E1,2.786754913E0
4.953148583E0,2.060614929E0,-1.273551636E1,4.409230957E0
4.973037583E0,-1.152303772E0,-1.400742142E1,6.637497253E0
4.992927583E0,-3.919898529E0,-1.402343811E1,7.737110596E0
5.012817583E0,-4.682712250E0,-1.140238861E1,5.525609436E0
5.032706583E0,-4.409081268E0,-8.352331238E0,3.149450684E0
5.052596583E0,-4.266278229E0,-5.828878784E0,-6.243516541E-1
5.072486583E0,-4.335434418E0,-3.824846191E0,-3.115770721E0
5.092375583E0,-5.510191498E0,-4.564308472E0,-8.671467590E-1
5.112265583E0,-6.611152039E0,-6.380781097E0,5.526507568E-1
5.132155583E0,-5.838009796E0,-7.256909180E0,2.389031982E-1
5.152044583E0,-4.915777588E0,-8.250093842E0,-3.622766418E0
5.171934583E0,-3.824846191E0,-9.270222473E0,-1.466754868E1
5.191824583E0,-5.820795593E0,-1.055829391E1,-3.746708679E-1
5.211713583E0,-7.610174561E0,-1.166164948E1,4.106560364E0
5.231603583E0,-8.531658325E0,-1.288505539E1,-2.526146851E0
5.251493583E0,-9.115893402E0,-1.177092224E1,-9.198671265E0
5.271382583E0,-1.425949722E1,-1.154324570E1,-1.166224823E0
5.291272583E0,-1.827639404E1,-1.097427887E1,-4.670138397E0
5.311162583E0,-1.581356552E1,-1.331451233E1,-3.565136261E0
5.331051583E0,-9.757608948E0,-1.538575516E1,1.498638565E1
5.350941583E0,-4.977449341E0,-1.427341827E1,8.339607697E0
5.370831583E0,-3.840264130E0,-1.728350876E1,8.017327881E-1
5.390720583E0,-3.970044250E0,-2.084894440E1,-4.410877533E0
5.410610583E0,-2.428849182E0,-2.037742493E1,8.463400269E-1
5.430500583E0,-1.983824615E0,-1.665451675E1,7.382048950E0
5.450389583E0,1.977837067E0,-1.267204834E1,3.755240936E0
