"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
5.618208583E0,-3.368789391E0,-8.975549701E0,-2.080108815E0
5.638098583E0,-3.052487476E0,-9.123162661E0,-1.919976967E0
5.657988583E0,-2.654197073E0,-9.201714156E0,-2.125976275E0
5.677877583E0,-2.500017398E0,-9.131859809E0,-2.568106178E0
5.697767583E0,-2.772060860E0,-9.122172142E0,-2.310355357E0
5.717657583E0,-3.253124156E0,-9.104180260E0,-1.663494700E0
5.737546583E0,-3.595355549E0,-9.042291575E0,-1.243585386E0
5.757436583E0,-3.709725917E0,-8.943884105E0,-1.575116228E0
5.777325750E0,-3.571760279E0,-8.918306630E0,-1.985554222E0
5.797214750E0,-3.241402243E0,-9.009504483E0,-2.135010370E0
5.817104750E0,-2.981676233E0,-9.171463001E0,-1.797209120E0
5.836994750E0,-2.816609627E0,-9.309385954E0,-1.279905513E0
5.856883750E0,-2.706411247E0,-9.391749249E0,-8.405406853E-1
5.876773750E0,-2.597466509E0,-9.443010619E0,-5.646351369E-1
5.896663750E0,-2.455224510E0,-9.485694124E0,-4.791257476E-1
5.916552750E0,-2.320263171E0,-9.515341846E0,-5.574773045E-1
5.936442750E0,-2.236340716E0,-9.529359961E0,-6.528127570E-1
5.956332750E0,-2.220456901E0,-9.534096206E0,-6.377274522E-1
5.976221750E0,-2.259572581E0,-9.535804178E0,-4.459854104E-1
5.996111750E0,-2.306117441E0,-9.534707825E0,8.518909897E-2
6.016001750E0,-2.309738768E0,-9.490922704E0,9.075240489E-1
6.035890750E0,-2.285911510E0,-9.373752689E0,1.772983959E0
6.055780750E0,-2.232431414E0,-9.209020836E0,2.538954884E0
6.075670750E0,-2.086996689E0,-9.061544117E0,3.125533817E0
6.095559750E0,-1.631724439E0,-9.027339660E0,3.475729995E0
6.115449750E0,-1.036241877E0,-9.175971789E0,3.311170928E0
6.135339750E0,-8.130663000E-1,-9.344102628E0,2.874500278E0
6.155229750E0,-9.418469124E-1,-9.421874104E0,2.564624453E0
6.175118750E0,-1.195279345E0,-9.479104897E0,2.225758426E0
6.195008750E0,-1.591189639E0,-9.535729333E0,1.665556136E0
6.214898750E0,-2.079820694E0,-9.540613512E0,9.418880622E-1
6.234787750E0,-2.691443836E0,-9.423359882E0,4.387706041E-1
6.254677750E0,-3.232439923E0,-9.261995441E0,-5.352880164E-2
6.274567750E0,-3.469732506E0,-9.154616003E0,-6.245703399E-1
6.294456750E0,-3.363618113E0,-9.133618067E0,-1.224412439E0
6.314346750E0,-3.121225297E0,-9.123774864E0,-1.803002249E0
6.334236750E0,-2.965717134E0,-9.103472747E0,-2.137146942E0
6.354125750E0,-2.953762210E0,-9.083649516E0,-2.235776168E0
6.374015750E0,-3.007418307E0,-9.058008891E0,-2.268047682E0
6.393905750E0,-3.133429897E0,-8.996099156E0,-2.342634765E0
6.413794750E0,-3.312991751E0,-8.889197436E0,-2.498474025E0
6.433684750E0,-3.457463293E0,-8.766277269E0,-2.726613084E0
6.453574750E0,-3.548940935E0,-8.665537929E0,-2.923967722E0
6.473463750E0,-3.605662143E0,-8.623025163E0,-2.979725017E0
6.493353750E0,-3.580707689E0,-8.658912449E0,-2.904802304E0
6.513243750E0,-3.457619706E0,-8.760501389E0,-2.744923348E0
6.533133750E0,-3.255805397E0,-8.905694770E0,-2.514847399E0
6.553022750E0,-2.999145374E0,-9.059951336E0,-2.271244793E0
6.572912750E0,-2.606480285E0,-9.076259805E0,-2.657790771E0
6.592802750E0,-2.506720061E0,-8.998839746E0,-2.995560446E0
6.612691750E0,-2.627548680E0,-9.090835744E0,-2.586278447E0
6.632581750E0,-2.876825716E0,-9.149399117E0,-2.061182694E0
6.652471750E0,-3.084461221E0,-9.131898986E0,-1.825000644E0
6.672360750E0,-3.198269672E0,-9.049378400E0,-2.028775963E0
6.692250750E0,-3.155620666E0,-9.030186669E0,-2.175757569E0
6.712140750E0,-2.971050088E0,-9.102935387E0,-2.132019665E0
6.732029750E0,-2.841853226E0,-9.230626298E0,-1.719151422E0
6.751919750E0,-2.769064747E0,-9.330732384E0,-1.227114365E0
6.771810208E0,-2.670428359E0,-9.399634219E0,-8.670678216E-1
6.791699208E0,-2.505557635E0,-9.458510419E0,-7.034603157E-1
6.811589208E0,-2.302895041E0,-9.508692977E0,-7.194004103E-1
6.831479208E0,-2.152067282E0,-9.535566196E0,-8.232102690E-1
6.851369208E0,-2.133331342E0,-9.536861939E0,-8.563098219E-1
6.871258208E0,-2.228700014E0,-9.526260352E0,-7.206798542E-1
6.891148208E0,-2.373829076E0,-9.510861125E0,-3.802200583E-1
6.911038208E0,-2.509082336E0,-9.481869460E0,1.864017615E-1
6.930927208E0,-2.590535512E0,-9.418261110E0,9.064119816E-1
6.950817208E0,-2.627054298E0,-9.306104497E0,1.652602068E0
6.970707208E0,-2.620675278E0,-9.153471703E0,2.362651100E0
6.990596208E0,-2.501076329E0,-9.010709594E0,2.964424315E0
7.010486208E0,-2.145519132E0,-8.944801533E0,3.409307379E0
7.030376208E0,-1.573099377E0,-9.034255747E0,3.484777976E0
7.050265208E0,-1.200483660E0,-9.193898183E0,3.204245819E0
7.070155208E0,-1.162980057E0,-9.310008098E0,2.864843601E0
7.090045208E0,-1.246374947E0,-9.385417299E0,2.568385382E0
7.109935208E0,-1.396804802E0,-9.460654593E0,2.186558984E0
7.129824208E0,-1.699350557E0,-9.525991965E0,1.613627745E0
7.149714208E0,-2.089336306E0,-9.531332227E0,1.012165236E0
7.169604208E0,-2.677640899E0,-9.422536594E0,5.311742261E-1
7.189493208E0,-3.204042335E0,-9.271978392E0,-2.535449780E-2
7.209383208E0,-3.426607828E0,-9.168740537E0,-6.547324710E-1
7.229273208E0,-3.349213205E0,-9.131265732E0,-1.280184863E0
7.249162208E0,-3.215666600E0,-9.092361867E0,-1.795699661E0
7.269052208E0,-3.229065202E0,-9.035520499E0,-2.041719798E0
7.288942208E0,-3.436369170E0,-8.974374996E0,-1.971818674E0
7.308831208E0,-3.696072376E0,-8.917106781E0,-1.749384889E0
7.328721208E0,-3.941428562E0,-8.818169553E0,-1.714971540E0
7.348611208E0,-4.165599408E0,-8.689074726E0,-1.839528782E0
7.368501208E0,-4.289288192E0,-8.601941273E0,-1.960792141E0
7.388390208E0,-4.264784850E0,-8.586821542E0,-2.077071625E0
7.408280208E0,-4.159456615E0,-8.609440911E0,-2.193755299E0
7.428170208E0,-4.068836760E0,-8.649683788E0,-2.205368161E0
7.448059208E0,-3.933175217E0,-8.740774637E0,-2.089282804E0
7.467949208E0,-3.718052937E0,-8.880436553E0,-1.884157509E0
7.487839208E0,-3.365262935E0,-9.048115402E0,-1.744332456E0
7.507728208E0,-2.840856861E0,-9.158361145E0,-2.071247506E0
7.527618208E0,-2.676733411E0,-9.087646088E0,-2.546734020E0
7.547508208E0,-3.001588341E0,-9.086507050E0,-2.159153669E0
7.567398208E0,-3.472722479E0,-9.033230730E0,-1.605330984E0
7.587287208E0,-3.684304855E0,-9.002928704E0,-1.268570539E0
7.607177208E0,-3.648230166E0,-8.997233516E0,-1.405819016E0
7.627067208E0,-3.485869651E0,-9.015286794E0,-1.676139889E0
7.646956208E0,-3.188527626E0,-9.092336724E0,-1.843581341E0
7.666846208E0,-2.919531440E0,-9.223807275E0,-1.622907714E0
7.686736208E0,-2.770190921E0,-9.344213725E0,-1.117057195E0
7.706625208E0,-2.699514456E0,-9.411434485E0,-6.112569242E-1
7.726515208E0,-2.644222600E0,-9.444286482E0,-2.227880161E-1
7.746405208E0,-2.519735963E0,-9.480804098E0,3.705032924E-2
7.766294208E0,-2.346307839E0,-9.524675757E0,1.070895528E-1
7.786184458E0,-2.208250546E0,-9.558218309E0,-1.351314150E-2
7.806074458E0,-2.143401855E0,-9.571368113E0,-1.756342053E-1
7.825964458E0,-2.131542678E0,-9.572614154E0,-2.401838481E-1
7.845853458E0,-2.169494032E0,-9.566391547E0,-1.163975618E-1
7.865743458E0,-2.252424506E0,-9.544490801E0,2.556430275E-1
