"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.433684750E0,3.734088341E0,8.269760367E0,8.001792998E0
6.453574750E0,3.164240923E0,9.923521353E0,5.552352262E0
6.473463750E0,3.164529191E0,1.067959791E1,5.383126824E0
6.493353750E0,4.963831176E0,9.872588596E0,6.588491739E0
6.513243750E0,6.469955229E0,8.391966589E0,6.530851057E0
6.533133750E0,7.699613571E0,6.349310213E0,3.046541735E0
6.553022750E0,8.517119808E0,3.534788627E0,-1.965695323E0
6.572912750E0,5.173642137E0,-1.118246080E1,-3.307380470E1
6.592802750E0,-9.962949128E0,-2.552327174E1,-1.216895507E1
6.612691750E0,-1.023685025E1,-7.274933807E0,-2.630074677E0
6.632581750E0,-5.163105454E0,6.122843458E0,-1.294870467E1
6.652471750E0,-1.266840202E0,5.809302306E-1,1.247950187E0
6.672360750E0,4.132327289E0,-8.069921831E0,1.419098423E1
6.692250750E0,9.840868621E0,-7.921762742E0,1.291023467E1
6.712140750E0,8.693949550E0,-2.464708402E0,7.618111571E0
6.732029750E0,6.982992269E0,2.595076752E0,1.355557958E0
6.751919750E0,6.024495045E0,3.148588219E0,4.065206516E-1
6.771810208E0,5.229506435E0,2.251548155E0,2.014880347E0
6.791699208E0,3.931342992E0,6.276249254E-1,3.654125036E0
6.811589208E0,1.399224234E0,-2.739436905E0,5.641464998E0
6.831479208E0,-2.098643173E0,-5.085578392E0,7.233480556E0
6.851369208E0,-3.639713696E0,-3.657600036E0,6.837571431E0
6.871258208E0,-3.192427134E0,4.124614227E-1,4.057091750E0
6.891148208E0,-2.669333467E0,3.626298137E0,4.890435755E-1
6.911038208E0,-2.017504285E0,6.465493219E0,-2.076521110E0
6.930927208E0,-2.111336894E0,6.748413087E0,-2.247772608E0
6.950817208E0,-2.378685627E0,5.241457559E0,-2.441312084E0
6.970707208E0,-2.791619797E0,2.476606316E0,-3.823163947E0
6.990596208E0,-1.929260446E0,5.211149687E-1,-5.962989353E0
7.010486208E0,-1.141046420E0,-1.320701244E0,-1.539233912E1
7.030376208E0,-1.199285273E0,-3.100110708E0,-1.106142226E1
7.050265208E0,-4.410148970E0,-4.789424520E0,1.732188813E0
7.070155208E0,-7.273625785E0,-4.987659749E0,2.832159128E0
7.090045208E0,-1.066106341E1,-1.440819426E0,-1.130601480E1
7.109935208E0,-1.384899111E1,1.443926051E0,-7.448417187E0
7.129824208E0,-1.410792804E1,9.305726767E-2,-8.158317699E0
7.149714208E0,-1.034545527E1,-4.589552656E0,6.380030023E-1
7.169604208E0,-7.241332197E0,-5.995251950E0,1.271463127E1
7.189493208E0,-1.355625786E0,-3.670707155E0,7.348276602E0
7.209383208E0,-8.814335534E-1,-6.076007845E0,1.656995666E-1
7.229273208E0,-1.360293618E0,-1.034219018E1,-2.950317907E0
7.249162208E0,-1.091027291E0,-1.132802372E1,2.634705087E0
7.269052208E0,5.446681380E-2,-8.171946389E0,8.314424908E0
7.288942208E0,3.217075194E0,-5.435559391E0,5.100612752E0
7.308831208E0,6.964675866E0,-1.476379268E0,4.528508309E0
7.328721208E0,5.581568459E0,2.198185880E0,3.222187707E0
7.348611208E0,6.170979491E0,5.113909321E0,4.515962523E0
7.368501208E0,6.705264144E0,7.176605859E0,8.743787123E0
7.388390208E0,6.296210479E0,8.297323557E0,1.144324428E1
7.408280208E0,5.569523780E0,9.088743610E0,3.777910299E0
7.428170208E0,6.763083751E0,9.830727210E0,2.104777487E0
7.448059208E0,8.852844712E0,9.351055552E0,3.949763768E0
7.467949208E0,9.953186617E0,7.923325703E0,2.426778975E0
7.487839208E0,1.017684846E1,5.027477533E0,-1.097358510E0
7.507728208E0,4.411091541E0,-6.158387513E0,-1.720880941E1
7.527618208E0,-1.807431427E1,-2.990731055E1,-2.481621473E1
7.547508208E0,-1.585664547E1,-1.310304894E1,-1.071428593E0
7.567398208E0,-7.041862621E0,5.695619570E0,-7.444699527E0
7.587287208E0,-5.682023039E-1,5.150988854E0,8.558791745E-1
7.607177208E0,1.266832016E0,-4.181811690E0,1.228504569E1
7.627067208E0,4.630838091E0,-7.742366658E0,1.083394569E1
7.646956208E0,8.762785896E0,-2.679932131E0,6.027530919E0
7.666846208E0,7.597303669E0,2.463759398E-1,2.661747290E0
7.686736208E0,7.374915347E0,3.724899150E0,1.515645075E-1
7.706625208E0,6.014820242E0,2.164554450E0,1.331516254E-1
7.726515208E0,6.502000310E0,1.231016650E0,8.906993437E-1
7.746405208E0,5.589402559E0,-6.561154836E-1,1.489475276E0
7.766294208E0,2.906143947E0,-2.171400955E0,3.391884431E0
7.786184458E0,6.620495304E-2,-2.054482369E0,5.915140418E0
7.806074458E0,-8.032206121E-1,-6.514266014E-2,6.324547255E0
7.825964458E0,-9.845274206E-1,2.147305164E0,5.115096306E0
7.845853458E0,-1.823153362E0,3.102383521E0,2.898512746E0
7.865743458E0,-3.306864746E0,3.135869356E0,-1.516095859E-1
7.885633458E0,-4.489159471E0,2.514624327E0,-1.368849556E0
7.905522458E0,-4.857743680E0,1.701221082E0,-2.567247514E0
7.925412458E0,-3.581540332E0,1.915260749E0,-4.201059555E0
7.945302458E0,-2.429894518E0,2.113439845E0,-5.836922214E0
7.965191458E0,-4.741783161E0,-5.909330624E-1,-1.531051669E1
7.985081458E0,-6.939192531E0,-2.144651697E0,-1.211286741E1
8.004971458E0,-8.046552849E0,-3.362831955E0,6.279146549E-1
8.024861458E0,-9.595817660E0,-1.769097900E0,-5.257235101E0
8.044750458E0,-1.488078143E1,-1.266068954E0,-2.614444192E0
